"ANO";"NOME";"Notificacoes_Estupro";"nivel_geografico";"total_72h";"casos_72h";"Oportunidade_72h";"total_pep";"casos_72h_pep";"PEP_72h";"total_contr";"casos_72h_contr";"Contracepção_72h_MIF";"COD_6_mun"
2015;"PEDRO DE TOLEDO";3;"Município";3;3;100;1;1;100;0;0;0;"353720"
2015;"PENAPOLIS";1;"Município";1;1;100;1;1;100;0;0;0;"353730"
2015;"PEREIRA BARRETO";4;"Município";4;4;100;4;4;100;2;2;100;"353740"
2015;"PERUIBE";5;"Município";5;5;100;3;3;100;3;3;100;"353760"
2015;"PIEDADE";5;"Município";5;3;60;1;1;100;0;0;0;"353780"
2015;"PILAR DO SUL";1;"Município";1;1;100;1;1;100;1;1;100;"353790"
2015;"PINDAMONHANGABA";14;"Município";14;14;100;12;12;100;5;5;100;"353800"
2015;"PIQUETE";1;"Município";1;1;100;0;0;0;0;0;0;"353850"
2015;"PIRACAIA";1;"Município";1;1;100;0;0;0;1;1;100;"353860"
2015;"PIRACICABA";26;"Município";26;26;100;13;13;100;10;10;100;"353870"
2015;"PIRAJUI";1;"Município";1;1;100;0;0;0;0;0;0;"353890"
2015;"PIRAPOZINHO";3;"Município";3;2;66,67;2;2;100;0;0;0;"353920"
2015;"PIRASSUNUNGA";4;"Município";4;4;100;3;3;100;3;3;100;"353930"
2015;"PITANGUEIRAS";1;"Município";1;1;100;0;0;0;0;0;0;"353950"
2015;"PLATINA";3;"Município";3;3;100;0;0;0;0;0;0;"353970"
2015;"POA";2;"Município";2;2;100;0;0;0;0;0;0;"353980"
2015;"POLONI";1;"Município";1;1;100;0;0;0;0;0;0;"353990"
2015;"PONTAL";1;"Município";1;1;100;1;1;100;1;1;100;"354020"
2015;"PONTALINDA";4;"Município";4;4;100;1;1;100;0;0;0;"354025"
2015;"PONTES GESTAL";1;"Município";1;1;100;1;1;100;0;0;0;"354030"
2015;"PORTO FELIZ";4;"Município";4;3;75;1;1;100;0;0;0;"354060"
2015;"PORTO FERREIRA";4;"Município";4;4;100;1;1;100;0;0;0;"354070"
2015;"POTIRENDABA";3;"Município";3;3;100;3;3;100;0;0;0;"354080"
2015;"PRADOPOLIS";2;"Município";2;2;100;2;2;100;1;1;100;"354090"
2015;"PRAIA GRANDE";20;"Município";20;18;90;9;9;100;3;3;100;"354100"
2015;"PRATANIA";3;"Município";3;2;66,67;2;2;100;0;0;0;"354105"
2015;"PRESIDENTE ALVES";1;"Município";1;1;100;1;1;100;1;1;100;"354110"
2015;"PRESIDENTE EPITACIO";3;"Município";3;3;100;2;2;100;1;1;100;"354130"
2015;"PRESIDENTE PRUDENTE";10;"Município";10;7;70;5;5;100;2;2;100;"354140"
2015;"PRESIDENTE VENCESLAU";1;"Município";1;1;100;0;0;0;0;0;0;"354150"
2015;"PROMISSAO";3;"Município";3;3;100;1;1;100;1;1;100;"354160"
2015;"RANCHARIA";3;"Município";3;3;100;2;2;100;0;0;0;"354220"
2015;"REGENTE FEIJO";1;"Município";1;1;100;1;1;100;0;0;0;"354240"
2015;"REGISTRO";6;"Município";6;6;100;3;3;100;2;2;100;"354260"
2015;"RIBEIRAO BRANCO";3;"Município";3;2;66,67;0;0;0;0;0;0;"354300"
2015;"RIBEIRAO CORRENTE";1;"Município";1;1;100;1;1;100;1;1;100;"354310"
2015;"RIBEIRAO DO SUL";1;"Município";1;1;100;1;1;100;0;0;0;"354320"
2015;"RIBEIRAO PIRES";18;"Município";18;16;88,89;5;5;100;4;4;100;"354330"
2015;"RIBEIRAO PRETO";102;"Município";102;89;87,25;53;51;96,23;31;31;100;"354340"
2015;"RIO CLARO";11;"Município";11;11;100;5;5;100;3;3;100;"354390"
2015;"RIO DAS PEDRAS";2;"Município";2;1;50;0;0;0;0;0;0;"354400"
2015;"RIO GRANDE DA SERRA";4;"Município";4;4;100;1;1;100;0;0;0;"354410"
2015;"RIOLANDIA";1;"Município";1;1;100;1;1;100;1;1;100;"354420"
2015;"RIVERSUL";1;"Município";1;1;100;0;0;0;1;1;100;"354350"
2015;"ROSANA";1;"Município";1;1;100;1;1;100;1;1;100;"354425"
2015;"SALES";1;"Município";1;1;100;0;0;0;0;0;0;"354480"
2015;"SALES OLIVEIRA";1;"Município";1;1;100;0;0;0;0;0;0;"354490"
2015;"SALTINHO";1;"Município";1;1;100;0;0;0;0;0;0;"354515"
2015;"SALTO";3;"Município";3;3;100;1;1;100;0;0;0;"354520"
2015;"SALTO DE PIRAPORA";3;"Município";3;1;33,33;0;0;0;0;0;0;"354530"
2015;"SANTA BARBARA DOESTE";6;"Município";6;6;100;1;1;100;1;1;100;"354580"
2015;"SANTA CRUZ DO RIO PARDO";8;"Município";8;8;100;6;6;100;4;4;100;"354640"
2015;"SANTA FE DO SUL";2;"Município";2;2;100;2;2;100;0;0;0;"354660"
2015;"SANTA GERTRUDES";1;"Município";1;1;100;0;0;0;0;0;0;"354670"
2015;"SANTA ISABEL";2;"Município";2;2;100;0;0;0;0;0;0;"354680"
2015;"SANTA LUCIA";1;"Município";1;1;100;0;0;0;0;0;0;"354690"
2015;"SANTA RITA DO PASSA QUATRO";1;"Município";1;1;100;1;1;100;1;1;100;"354750"
2015;"SANTA ROSA DE VITERBO";2;"Município";2;2;100;0;0;0;0;0;0;"354760"
2015;"SANTANA DE PARNAIBA";15;"Município";15;12;80;0;0;0;0;0;0;"354730"
2015;"SANTO ANDRE";214;"Município";214;172;80,37;33;33;100;19;19;100;"354780"
2015;"SANTO ANTONIO DA ALEGRIA";2;"Município";2;1;50;0;0;0;0;0;0;"354790"
2015;"SANTOS";61;"Município";61;55;90,16;17;17;100;9;9;100;"354850"
2015;"SAO BENTO DO SAPUCAI";2;"Município";2;2;100;0;0;0;0;0;0;"354860"
2015;"SAO BERNARDO DO CAMPO";187;"Município";187;163;87,17;32;31;96,88;12;11;91,67;"354870"
2015;"SAO CAETANO DO SUL";3;"Município";3;3;100;2;2;100;0;0;0;"354880"
2015;"SAO CARLOS";14;"Município";14;14;100;9;9;100;4;4;100;"354890"
2015;"SAO JOAO DA BOA VISTA";7;"Município";7;7;100;2;2;100;1;1;100;"354910"
2015;"SAO JOAQUIM DA BARRA";1;"Município";1;1;100;1;1;100;0;0;0;"354940"
2015;"SAO JOSE DO RIO PARDO";1;"Município";1;1;100;1;1;100;1;1;100;"354970"
2015;"SAO JOSE DO RIO PRETO";84;"Município";84;76;90,48;29;28;96,55;13;13;100;"354980"
2015;"SAO JOSE DOS CAMPOS";95;"Município";95;88;92,63;35;34;97,14;18;18;100;"354990"
2015;"SAO LOURENCO DA SERRA";5;"Município";5;4;80;2;2;100;2;2;100;"354995"
2015;"SAO LUIZ DO PARAITINGA";1;"Município";1;0;0;1;0;0;0;0;0;"355000"
2015;"SAO MANUEL";8;"Município";8;7;87,5;6;6;100;1;1;100;"355010"
2015;"SAO MIGUEL ARCANJO";1;"Município";1;1;100;1;1;100;0;0;0;"355020"
2015;"SAO PAULO";509;"Município";509;331;65,03;82;66;80,49;46;42;91,3;"355030"
2015;"SAO PEDRO";1;"Município";1;1;100;1;1;100;1;1;100;"355040"
2015;"SAO PEDRO DO TURVO";1;"Município";1;0;0;0;0;0;0;0;0;"355050"
2015;"SAO ROQUE";1;"Município";1;1;100;1;1;100;1;1;100;"355060"
2015;"SAO SEBASTIAO";6;"Município";6;5;83,33;4;4;100;2;2;100;"355070"
2015;"SAO VICENTE";24;"Município";24;21;87,5;14;13;92,86;7;6;85,71;"355100"
2015;"SERRA AZUL";3;"Município";3;3;100;2;2;100;1;1;100;"355140"
2015;"SERRA NEGRA";1;"Município";1;0;0;0;0;0;0;0;0;"355160"
2015;"SERRANA";9;"Município";9;9;100;5;5;100;5;5;100;"355150"
2015;"SERTAOZINHO";17;"Município";17;17;100;7;7;100;4;4;100;"355170"
2015;"SETE BARRAS";1;"Município";1;0;0;1;0;0;0;0;0;"355180"
2015;"SEVERINIA";1;"Município";1;1;100;0;0;0;0;0;0;"355190"
2015;"SOCORRO";2;"Município";2;2;100;0;0;0;0;0;0;"355210"
2015;"SOROCABA";26;"Município";26;15;57,69;6;4;66,67;3;3;100;"355220"
2015;"SUMARE";42;"Município";42;40;95,24;22;21;95,45;13;12;92,31;"355240"
2015;"SUZANO";31;"Município";31;29;93,55;3;3;100;3;3;100;"355250"
2015;"TABATINGA";1;"Município";1;1;100;1;1;100;1;1;100;"355270"
2015;"TABOAO DA SERRA";13;"Município";13;12;92,31;1;1;100;1;1;100;"355280"
2015;"TACIBA";1;"Município";1;1;100;1;1;100;1;1;100;"355290"
2015;"TAMBAU";2;"Município";2;2;100;2;2;100;2;2;100;"355330"
2015;"TANABI";4;"Município";4;3;75;4;3;75;3;2;66,67;"355340"
2015;"TAQUARITINGA";2;"Município";2;2;100;2;2;100;1;1;100;"355370"
2015;"TAQUARITUBA";1;"Município";1;1;100;1;1;100;1;1;100;"355380"
2015;"TARUMA";1;"Município";1;1;100;0;0;0;0;0;0;"355395"
